HLF+/+ ND			HLF+/- ND			HLF+/+ HFD			HLF+/- HFD		
1.304303	0.90271	1.354006	0.786405	0.516545	1.519997	0.718471	0.956715	1.725455	1.137859	0.883095	0.987686
1.304303	0.90271	1.354006	0.789655	0.516545	1.519997	0.718471	0.956715	1.725455	1.137859	0.971191	0.987686
1.304707	0.90271	1.354006	0.800609	0.516545	1.519997	0.718471	0.959031	1.725455	1.137859	0.979277	0.987686
1.307933	0.90271	1.354006	0.805272	0.516831	1.519997	0.719934	1.049414	1.725455	1.137859	0.979277	0.988776
1.309497	0.90271	1.354006	0.825651	0.527823	1.519997	0.722407	1.1182	1.725455	1.137859	0.979277	0.992996
1.309751	0.907238	1.354006	0.887106	0.528868	1.519997	0.722407	1.118205	1.725455	1.137859	0.979277	0.992996
1.402943	0.927627	1.354006	0.91685	0.528868	1.519997	0.72246	1.118205	1.725455	1.137859	0.979277	0.993636
1.511204	1.036279	1.354006	0.91685	0.528868	1.519997	0.731586	1.118205	1.725492	1.141054	0.979277	1.096266
1.513226	1.078926	1.354006	0.91685	0.528868	1.520109	0.750992	1.118205	1.809632	1.151056	1.028498	1.223366
1.513226	1.078926	1.355124	0.91685	0.528868	1.523264	0.76393	1.118205	1.967264	1.151203	1.131298	1.228956
1.513226	1.078926	1.362733	0.91685	0.528868	1.5303	0.767404	1.118205	2.016981	1.151203	1.146979	1.228956
1.545017	1.078926	1.371301	0.91685	0.528868	1.552509	0.767404	1.118205	2.016981	1.18809	1.146979	1.228956
1.68669	1.078926	1.374489	0.917786	0.528868	1.553405	0.767404	1.118205	2.016981	1.261618	1.146979	1.228956
1.73714	1.078926	1.374489	0.919892	0.528868	1.560787	0.767404	1.118205	2.016981	1.335146	1.146979	1.228956
1.73714	1.078926	1.374489	0.92167	0.528868	1.5641	0.767404	1.118205	2.016981	1.38485	1.146979	1.228956
1.737319	1.078926	1.374489	0.94074	0.528868	1.609144	0.767404	1.118681	2.016981	1.386248	1.146979	1.228956
1.74137	1.078926	1.411345	0.979113	0.528868	1.636224	0.767404	1.123003	2.016981	1.386248	1.146979	1.228956
1.743262	1.081999	1.483721	1.017486	0.528868	1.636224	0.767404	1.123719	2.016981	1.386248	1.146979	1.228956
1.743262	1.130281	1.495725	1.054829	0.528868	1.636224	0.767404	1.123719	2.016981	1.386248	1.146979	1.273526
1.743262	1.173574	1.495725	1.07386	0.530883	1.636224	0.767404	1.123867	2.016981	1.386248	1.146979	1.309996
1.74425	1.174904	1.495725	1.104036	0.586584	1.636224	0.767404	1.172911	2.016981	1.386248	1.146979	1.310006
1.845644	1.174904	1.495725	1.13565	0.637771	1.638621	0.767404	1.188641	2.016981	1.386248	1.146979	1.372356
2.013936	1.174904	1.495725	1.167265	0.638727	1.645575	0.767404	1.188641	2.016981	1.386248	1.146979	1.481246
2.121163	1.174904	1.495725	1.184663	0.638727	1.739231	0.767404	1.188641	2.016981	1.386248	1.208353	1.498906
2.123014	1.210175	1.495725	1.184705	0.638727	1.856283	0.782001	1.188641	2.016981	1.386248	1.356392	1.501956
2.123014	1.331231	1.495725	1.184705	0.638727	1.878416	0.787772	1.200751	2.016981	1.389494	1.425185	1.503656
2.123014	1.337967	1.508224	1.184705	0.638727	1.878416	0.787772	1.297673	2.016981	1.450209	1.425185	1.503656
2.123014	1.338056	1.536931	1.184705	0.638727	1.878416	0.787772	1.330328	2.33982	1.517712	1.425185	1.503656
2.123381	1.343037	1.536931	1.184705	0.638727	1.878416	0.787772	1.330328	2.558051	1.524533	1.425185	1.503656
2.124672	1.344336	1.536931	1.184705	0.638727	1.878416	0.787772	1.332029	2.558051	1.541026	1.425185	1.503656
2.124762	1.344336	1.538955	1.184705	0.638727	1.878416	0.787772	1.335937	2.558051	1.587393	1.425185	1.503656
2.124762	1.344336	1.651594	1.184705	0.638727	1.878416	0.788801	1.335937	2.558051	1.589577	1.425185	1.503656
2.147187	1.344336	1.827547	1.184705	0.638727	1.878416	0.846725	1.335937	2.558051	1.589577	1.425185	1.503656
2.21997	1.344336	1.915816	1.184705	0.638727	1.878416	0.864508	1.335937	2.558051	1.589577	1.425185	1.503656
2.272024	1.344336	1.915816	1.184705	0.638727	1.878416	0.892966	1.335937	2.558051	1.589577	1.425185	1.503656
2.273859	1.344336	1.915816	1.185556	0.638727	1.879141	0.96752	1.335937	2.558051	1.589577	1.425185	1.503656
2.273859	1.347011	1.915816	1.194854	0.638727	1.936425	0.973012	1.335937	2.558051	1.589577	1.425185	1.505776
2.274792	1.35287	1.915816	1.194937	0.638727	1.981159	0.973012	1.335937	2.56286	1.637172	1.425185	1.555036
2.287911	1.357753	1.915816	1.194937	0.638727	1.981159	0.973012	1.335937	2.591346	1.737277	1.425185	1.622876
2.293706	1.377833	1.915816	1.204591	0.638727	1.981159	0.973012	1.335937	2.60031	1.837412	1.425185	1.647396
