HLF+/+HFD			HLF-/-HFD		
0.642278	0.688031	0.737407	0.714978	0.681526	0.692323
0.654518	0.679021	0.749138	0.731995	0.640081	0.719646
0.654621	0.694818	0.791406	0.705354	0.654222	0.694206
0.677654	0.694988	0.780183	0.680383	0.684281	0.698689
0.653608	0.732539	0.769499	0.673927	0.667934	0.694258
0.691887	0.778921	0.783088	0.701635	0.67213	0.69015
0.707269	0.762609	0.78402	0.696568	0.7003	0.713173
0.725471	0.787134	0.766805	0.680834	0.68166	0.691184
0.665216	0.785076	0.712575	0.665481	0.664136	0.681626
0.730897	0.790696	0.697875	0.67957	0.65742	0.720185
0.747394	0.773555	0.706511	0.688518	0.703884	0.752113
0.752842	0.757474	0.702687	0.693991	0.715823	0.742823
0.745455	0.74114	0.70308	0.681747	0.756802	0.721604
0.73588	0.753604	0.724315	0.699106	0.720702	0.714878
0.763094	0.754699	0.748389	0.699878	0.746104	0.712106
0.720038	0.760927	0.731498	0.722833	0.735179	0.721216
0.700645	0.777336	0.745406	0.718977	0.788669	0.726598
0.679011	0.789799	0.74356	0.784145	0.775153	0.678771
0.657776	0.786827	0.76592	0.809251	0.782339	0.693409
0.6629	0.75316	0.763621	0.820101	0.78267	0.71699
0.668411	0.712731	0.770002	0.808773	0.738041	0.717282
0.653759	0.712321	0.750046	0.792551	0.703178	0.68122
0.649	0.723442	0.768426	0.773283	0.726883	0.688935
0.670868	0.744338	0.744083	0.766666	0.702746	0.689515
0.662008	0.701871	0.691785	0.736303	0.719584	0.692516
0.65809	0.702937	0.70955	0.746007	0.719357	0.697544
0.657718	0.703477	0.710069	0.750571	0.742663	0.706509
0.656249	0.713659	0.709471	0.753484	0.729786	0.676039
0.651195	0.673334	0.7034	0.761176	0.72479	0.69426
0.653193	0.676794	0.684206	0.757133	0.770576	0.717245
0.6441	0.685781	0.702067	0.740395	0.818368	0.727644
0.654723	0.696756	0.700114	0.719625	0.783625	0.689192
0.655274	0.689988	0.683223	0.726435	0.812026	0.691837
