Fatty acid	Both	Carbohydrate	RNA-seq	
RPS6KA2	SQLE	ARHGAP39	ST6GAL1	
SMOC2	PHF20L1	DIP2C	CCR1	
LOC102127264	KHDRBS3	LOC102125557	VCAM1	
TACC3	SHARPIN	AKR1C1	TMEM154	
NSD2	LOC107130717	CELF2	DNAJC10	
NOP14	DGAT1	CAMK1D	WASL	
STX18	PPP1R16A	RSU1	ZFYVE16	
HS3ST1	GPT	MALRD1	PIK3AP1	
RAB28	IDI1	PLXDC2	VCAN	
LOC102118468	AKR1C1	MPP7	ENSMFAG00000065428	
CC2D2A	LOC102141103	LOC102125303	SPRED2	
NCAPG	HSD17B5	LOC101867197	CLEC7A	
SLIT2	TASOR2	PARD3	AMOT	
DHX15	CAMK1D	CCNY	HTR1D	
CCDC149	MALRD1	CCSER2	ENSMFAG00000054104	
RBPJ	LOC102136558	VDAC2	WDHD1	
RFC1	PLXDC2	ADK	CCSER2	
UGDH	ARHGAP21	MCU	SLAMF7	
UBE2K	ABI1	CTNNA3	ADGRG1	
PDS5A	LOC102125303	ARID5B	EPB41L4B	
APBB2	EPC1	ANK3	ATP11C	
LIN54	LOC101926166	PHYHIPL	CD209	
HNRNPDL	CCSER2	PRKG1	KNL1	
HNRNPD	VCL	SGMS1	SLC7A1	
MRPL1	SEC24C	IDE	RGS18	
NUP54	MCU	HELLS	ESRP1	
ANKRD17	SGPL1	GOT1	ENSMFAG00000042620	
PPAT	HKDC1	SCD	EXOC6B	
CEP135	HERC4	VTI1A	GNS	
CLOCK	REEP3	DMBT1	HDC	
TMEM165	JMJD1C	DOCK1	TMEM86A	
SCFD2	PHYHIPL	INSYN2A	MAP7	
USP46	PRKG1	MGMT	HIPK1	
PKD2	A1CF	NINL	CRK	
FAM13A	ASAH2	RALGAPA2	GNPTAB	
GPRIN3	SGMS1	DTD1	ENSMFAG00000041667	
SMARCAD1	PAPSS2	MACROD2	SLC37A2	
EIF4E	ATAD1	TASP1	RCAN1	
PPP3CA	PTEN	BTBD3	MIDEAS	
PPA2	CPEB3	LOC102131744	QSER1	
GSTCD	CYP2C19	PLCB4	CD101	
NPNT	LCOR	GPCPD1	TPD52	
LEF1	ENTPD7	DNAAF9	MYORG	
ELOVL6	ABCC2	LZTS3	SUZ12	
ZGRF1	GBF1	NOP56	RBL1	
UGT8	CNNM2	CBFA2T2	NBEA	
SEC24D	NT5C2	ACSS2	ME1	
PDE5A	MXI1	RBL1	CUL5	
SPATA5	LOC123566861	CSE1L	FERMT1	
PLK4	PLEKHS1	TSHZ2	UNC5B	
LARP1B	ABLIM1	SS18L1	ENSMFAG00000061472	
SCLT1	PLEKHA1	ARFRP1	SMC2	
ELF2	CRLS1	UCKL1	F3	
NAA15	SHLD1	TRABD	FAM172A	
TBC1D9	GPCPD1	EFCAB6	ERO1B	
INPP4B	SLC23A2	SGSM3	METTL13	
ABCE1	IDH3B	RBFOX2	SAMD8	
SLC10A7	TOP1	LARGE1	CLDN2	
LRBA	PKIG	LIMK2	HIPK2	
PRSS48	NCOA3	ZNRF3	VPS41	
FHIP1A	B4GALT5	CHEK2	CAMK1D	
FBXW7	PCK1	PITPNB	ENSMFAG00000054887	
TRIM2	EDN3	TPST2	MECOM	
MND1	UCKL1	SDF2L1	RRM1	
TMEM131L	CRELD2	TRMT2A	INSIG1	
PDGFC	CERK	CDC45	RFK	
FNIP2	PPARA	MICAL3	ENSMFAG00000060823	
KLHL2	CCDC134	ERC1	FGD2	
MSMO1	ACO2	ITFG2	ALDH5A1	
PALLD	TOB2	ATN1	GSPT1	
LOC102117500	BAIAP2L2	DDX11	WDR43	
NEIL3	SLC5A4	EPS8	SLC39A10	
TENM3	SLC5A1	DERA	RAB15	
STOX2	MTMR3	MGST1	TMEM164	
CENPU	KIAA1671	PIK3C2G	PRXL2C	
SORBS2	LOC123567264	PLEKHA5	ENSMFAG00000058041	
SDHA	ADIPOR2	PDE3A	CXCL6	
CEP72	DUSP16	LDHB	ENSMFAG00000042985	
BRD9	EPS8	ITPR2	NECTIN1	
TRIP13	MGST1	STK38L	POU2AF1	
SLC6A3	PLEKHA5	ARNTL2	MYPN	
SEMA5A	PDE3A	FAR2	PHF6	
ATPSCKMT	ETNK1	DENND5B	ATP10B	
LOC101865564	KRAS	BICD1	DSG2	
TRIO	ITPR2	FGD4	KPNA6	
OTULIN	STK38L	SYT10	C9orf152	
DROSHA	DENND5B	SLC2A13	DPY19L1	
SLC1A3	TMEM117	GXYLT1	DEPDC1	
NUP155	ANO6	TMEM117	ARID5B	
WDR70	SPATS2	NELL2	MALL	
OXCT1	GPD1	SPATS2	ENSMFAG00000002651	
GHR	LARP4	TIMELESS	DOCK8	
HMGCS1	SLC11A2	LRP1	XK	
NNT	MYO1A	R3HDM2	ENSMFAG00000057406	
PARP8	LRP1	PPM1H	ENSMFAG00000063963	
NDUFS4	USP15	SRGAP1	GLCCI1	
ARL15	PPM1H	XPOT	WASHC5	
ERCC8	RASSF3	GRIP1	FICD	
NDUFAF2	TBC1D30	MYRFL	ENSMFAG00000049196	
KIF2A	MYRFL	CNOT2	MTMR9	
IPO11	KITLG	NAP1L1	SH3GLB1	
RNF180	ATP2B1	METTL25	NAA15	
CWC27	CRADD	CEP290	CBFA2T3	
CENPK	APAF1	KITLG	KIAA0513	
NLN	NR1H4	ATP2B1	ENSMFAG00000056778	
MAST4	CHPT1	NR1H4	ROBO2	
MRPS27	TXNRD1	POLR3B	CCL11	
TNPO1	CHST11	UNG	ARID2	
